Institute Code,Institute,Program,Category,Quota,Opening Rank,Closing Rank
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Computer Science and Engineering (Shift I),OPEN,All India,35094,40957
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Electronics and Communication
Engineering (Shift I)",OPEN(GIRL),Home State,36513,39976
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering (Self
Finance) (Shift I)",OPEN(GIRL),Home State,36554,40857
800192,"G.L. BAJAJ INSTITUTE OF  TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR
(0192)",Computer Science and Engineering (Shift I),OPEN,All India,37210,121343
800192,"G.L. BAJAJ INSTITUTE OF  TECHNOLOGY &
MANAGEMENT,GAUTAM BUDDH NAGAR (0192)","Computer Science and
Engineering(Artificial Intelligence & Machine Learning)  (Shift I)",OPEN,All India,37303,192473
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering (Self
Finance) (Shift I)",EWS(OPEN),Home State,37511,38332
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering (Self
Finance) (Shift I)",BC,Home State,37833,41190
800193,"UNITED COLLEGE OF ENGIINEERING & RESEARCH,GREATER NOIDA,GAUTAM BUDDH
NAGAR (0193)",Computer Science and Engineering (Shift I),OPEN,All India,38087,636151
800091,"J.S.S. ACADEMY OF TECHNICAL
EDUCATION,GAUTAM BUDDH NAGAR (0091)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,38224,46120
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering
(Artificial Intelligence) (Shift I)",OPEN(AF),Home State,38459,38459
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Information Technology (Shift I),OPEN,All India,39006,43818
801512,"Lucknow University, Lucknow (1512)","Computer Science & Engineering (Artificial
Intelligence) (Shift I)",OPEN(GIRL),Home State,39279,140453
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Electronics and Communication
Engineering (Shift I)",BC,Home State,39283,46692
800052,INSTITUTE OF ENGINEERING &,Electrical Engineering (Shift I)(FW),OPEN(TF),Home State,39347,40372
801508,"Bundelkhand University, Jhansi (1508)",Computer Science and Engineering (Shift I),OPEN,Home State,39374,172904
,"MANAGEMENT,BIJNAUR (0017)",,,,,
800104,"KAMLA NEHRU INSTITUTE OF
TECHNOLOGY,SULTANPUR (0104)",Electronics Engineering (Shift I),OPEN,All India,39611,53971
800029,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT.
OF ENGG. & TECHNOLOGY),GHAZIABAD (0029)","Computer Science and Engineering (Shift
I)(FW)",OPEN(TF),Home State,39614,64542
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Electronics and Communication
Engineering (Shift I)",EWS(OPEN),Home State,39639,42243
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Electronics and Communication
Engineering (Shift I)",OPEN(AF),Home State,39700,42199
800112,"INDIAN INSTITUTE OF CARPET
TECHNOLOGY,BHADOHI (0112)",Carpet & Textile Technology (Shift I)(FW),OPEN(TF),Home State,39993,39993
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)","Computer Science and Engineering (Self
Finance) (Shift I)",OPEN(AF),Home State,40351,42904
800043,"BUNDELKHAND INSTITUTE OF ENGINEERING &
TECHNOLOGY,JHANSI (0043)",Computer Science and Engineering (Shift I),OPEN,Home State,41109,45687
800052,"INSTITUTE OF ENGINEERING &
TECHNOLOGY,LUCKNOW (0052)",Computer Science and Engineering (Shift I),SC,Home State,41163,89735
800382,"KAMLA NEHRU INSTITUTE OF PHYSICAL &
SOCIAL SCIENCES,SULTANPUR (0382)",Computer Science and Engineering (Shift I),OPEN,All India,41475,107475
800027,"AJAY KUMAR GARG ENGG.
COLLEGE,GHAZIABAD (0027)",Computer Science and Engineering (Shift I),BC(AF),Home State,152819,173552
